"seller_id","seller_city","seller_state","total_orders","total_items_sold","total_revenue","total_freight","total_gross_revenue","avg_item_price","avg_review_score","total_reviews","positive_review_pct"
"1fdc574883ef3b33ad41562d93f3a74a","limeira","SP","18","1","4251.00","273.27","4524.27","236.17","4.44","18","88.89"
"43f8c9950d11ecd03a0304a49e010da6","carapicuiba","SP","41","1","4249.59","557.63","4807.22","103.65","4.56","41","85.37"
"9b1585752613ec342d03bbab9997ec48","rio de janeiro","RJ","3","1","4248.98","100.06","4349.04","1416.33","3.67","3","66.67"
"6ec1a01e866584bb679eb9b098345919","santos","SP","31","2","4248.91","814.85","5063.76","132.78","4.13","30","76.67"
"3c03b12bab54d8b37d79d914bfdb1aa0","sao joao de meriti","RJ","37","3","4236.34","683.43","4919.77","98.52","3.88","36","86.11"
"98dac6635aee4995d501a3972e047414","sao paulo","SP","91","12","4235.85","2439.52","6675.37","21.72","3.88","90","154.44"
"8b9d6eec4a7eb7d0f9d579ce0b38324d","mesquita","RJ","49","3","4232.54","1684.44","5916.98","79.86","4.06","49","85.71"
"8a130737016f838139d31878787a39c9","sao paulo","SP","56","3","4222.03","842.29","5064.32","68.10","4.35","56","96.43"
"d20b021d3efdf267a402c402a48ea64b","ibitinga","SP","90","5","4220.16","1594.15","5814.31","39.44","3.65","90","74.44"
"8bb48dc19fccaa8613b6229bf7f452a2","assis","SP","82","5","4215.12","1869.25","6084.37","43.91","4.34","83","101.20"
"891071be6ba827b591264c90c2ae8a63","sao paulo","SP","92","3","4207.27","1288.92","5496.19","42.50","3.72","93","72.04"
"6b3bd31ad8fcda4b2635ec9f3ff2ecdf","rio de janeiro","RJ","36","4","4198.90","757.02","4955.92","97.65","3.86","36","88.89"
"5c030029b5916fed0986310385ec9009","sao jose","SC","7","3","4164.40","915.50","5079.90","416.44","4.90","7","142.86"
"bccf933e006e9b94a6184af782963e77","assis","SP","45","2","4162.74","884.47","5047.21","90.49","4.53","44","93.18"
"f76a3b1349b6df1ee875d1f3fa4340f0","sao paulo","SP","24","2","4160.79","588.19","4748.98","173.37","3.46","24","50.00"
"cd6efc47efaabf134f8bdb654e10b4f1","rio de janeiro","RJ","31","2","4158.55","598.61","4757.16","129.95","4.50","31","93.55"
"6fc26fe110feebd80a433e1f012a84f9","fernandopolis","SP","35","5","4150.87","977.19","5128.06","57.65","4.01","34","167.65"
